"";"ILI rate";"αρ. γριπωδών συνδρομών";"αρ. επισκέψεων";"Παθολόγοι / Γεν.ιατροί που δήλωσαν";"Παιδίατροι που δήλωσαν";"Εκτιμώμενος πληθυσμιακός παρονομαστής (σύνολο)"
"201341";10,01;47;4019;24;39;67252
"201342";11,01;49;3837;25;40;69695
"201343";15,25;114;7159;55;40;125758
"201344";12,85;89;6669;61;37;135248
"201345";13,54;110;8624;71;44;157956
"201346";13,17;107;8748;71;56;164849
"201347";10,47;100;10514;89;60;200784
"201348";15,47;107;8207;85;57;191586
"201349";17,04;150;9850;91;55;201650
"201350";18,78;154;9177;84;55;188568
"201351";16,79;100;7092;65;38;143297
"201352";14,08;65;3460;49;34;111099
"201401";27,45;119;4925;54;34;120443
"201402";26,61;169;8051;66;49;151484
"201403";35,23;280;9638;78;50;174484
"201404";45,81;364;9328;77;47;170892
"201405";57,46;475;9632;80;48;177072
"201406";53,35;426;10036;78;43;170463
"201407";71,11;515;8637;78;47;172761
"201408";70,84;508;8899;71;46;159105
"201409";73,32;521;9651;77;46;170317
"201410";53,15;422;9419;78;48;173335
"201411";45,66;376;9258;77;42;168020
"201412";34,89;221;7438;62;36;136542
"201413";36,74;168;6326;63;38;139559
"201414";22,86;172;8454;69;41;152495
"201415";22,75;121;7046;57;37;127772
"201416";18,08;64;4062;45;28;100178
"201417";23,13;111;5773;62;42;139988
"201418";16;88;6242;61;40;136971
"201419";12,64;74;8256;74;36;158967
"201420";13,43;66;6683;65;40;144446
"201421";16,11;73;6259;60;40;135102
"201422";11,36;71;7139;61;38;135822
"201423";11,54;58;6379;56;28;120734
"201424";10,69;46;6640;67;32;143588
"201425";17,07;70;6497;60;33;131081
"201426";4,28;34;5922;58;36;129067
"201427";3,65;18;5434;49;32;109950
"201428";6,04;34;5919;54;30;118145
"201429";5,12;24;5239;44;30;99458
"201430";6,17;39;5196;55;28;118865
"201431";3,38;27;4774;50;25;107798
"201432";5,35;30;4653;41;20;88107
"201433";2,65;22;4026;38;20;82501
"201434";4,08;26;4773;45;26;99029
"201435";2,76;23;5489;48;30;106933
"201436";2,38;27;7876;57;37;127772
"201437";7,53;50;8362;64;41;143151
"201438";7,64;39;6655;55;38;124609
"201439";9,03;38;6631;53;40;122021
